Id: 1,  valid: true, sum: 1, red: 9, green: 3, blue:  4
Id: 2,  valid: true, sum: 3, red: 5, green: 13, blue:  3
Id: 3,  valid: true, sum: 6, red: 6, green: 1, blue:  3
Id: 4,  valid: false, sum: 6, red: 19, green: 6, blue:  4
Id: 5,  valid: false, sum: 6, red: 2, green: 16, blue:  17
Id: 6,  valid: true, sum: 12, red: 6, green: 5, blue:  3
Id: 7,  valid: false, sum: 12, red: 2, green: 7, blue:  15
Id: 8,  valid: false, sum: 12, red: 14, green: 3, blue:  6
Id: 9,  valid: false, sum: 12, red: 16, green: 1, blue:  3
Id: 10,  valid: true, sum: 22, red: 1, green: 7, blue:  5
Id: 11,  valid: false, sum: 22, red: 3, green: 13, blue:  19
Id: 12,  valid: false, sum: 22, red: 4, green: 15, blue:  6
Id: 13,  valid: false, sum: 22, red: 9, green: 15, blue:  5
Id: 14,  valid: true, sum: 36, red: 3, green: 5, blue:  12
Id: 15,  valid: false, sum: 36, red: 12, green: 17, blue:  9
Id: 16,  valid: false, sum: 36, red: 6, green: 14, blue:  5
Id: 17,  valid: false, sum: 36, red: 13, green: 5, blue:  9
Id: 18,  valid: true, sum: 54, red: 4, green: 8, blue:  6
Id: 19,  valid: true, sum: 73, red: 10, green: 4, blue:  9
Id: 20,  valid: true, sum: 93, red: 1, green: 11, blue:  6
Id: 21,  valid: true, sum: 114, red: 12, green: 8, blue:  2
Id: 22,  valid: true, sum: 136, red: 12, green: 13, blue:  9
Id: 23,  valid: false, sum: 136, red: 16, green: 3, blue:  15
Id: 24,  valid: false, sum: 136, red: 11, green: 16, blue:  14
Id: 25,  valid: true, sum: 161, red: 9, green: 5, blue:  12
Id: 26,  valid: true, sum: 187, red: 12, green: 5, blue:  7
Id: 27,  valid: true, sum: 214, red: 3, green: 4, blue:  2
Id: 28,  valid: true, sum: 242, red: 4, green: 5, blue:  11
Id: 29,  valid: false, sum: 242, red: 17, green: 3, blue:  14
Id: 30,  valid: true, sum: 272, red: 1, green: 8, blue:  2
Id: 31,  valid: false, sum: 272, red: 15, green: 9, blue:  15
Id: 32,  valid: false, sum: 272, red: 15, green: 5, blue:  4
Id: 33,  valid: true, sum: 305, red: 4, green: 1, blue:  10
Id: 34,  valid: false, sum: 305, red: 13, green: 4, blue:  13
Id: 35,  valid: false, sum: 305, red: 14, green: 7, blue:  7
Id: 36,  valid: true, sum: 341, red: 8, green: 9, blue:  10
Id: 37,  valid: true, sum: 378, red: 9, green: 13, blue:  10
Id: 38,  valid: false, sum: 378, red: 6, green: 12, blue:  18
Id: 39,  valid: false, sum: 378, red: 15, green: 5, blue:  1
Id: 40,  valid: true, sum: 418, red: 7, green: 8, blue:  14
Id: 41,  valid: true, sum: 459, red: 10, green: 10, blue:  1
Id: 42,  valid: false, sum: 459, red: 16, green: 11, blue:  2
Id: 43,  valid: false, sum: 459, red: 9, green: 11, blue:  16
Id: 44,  valid: false, sum: 459, red: 9, green: 20, blue:  12
Id: 45,  valid: true, sum: 504, red: 1, green: 5, blue:  2
